sample,aq_gen.Al.residual,aq_gen.Al.quantile,
Ben_001,-0.119106,-0.126026,
Ben_002,-0.165416,-0.17544,
Ben_003,-0.097186,-0.0974424,
Ben_004,-0.153786,-0.155839,
Ben_005,-0.0888268,-0.0924014,
Ben_006,0.0436753,0.0331937,
Ben_007,0.0692756,0.0650456,
Ben_008,-0.0282282,-0.0486717,
Ben_009,-0.0545187,-0.0693306,
Ben_010,0.00215649,-0.00728428,
Ben_011,-0.0054845,-0.0256813,
Ben_012,0.0737389,0.0781935,
Ben_013,0.00114743,-0.0109352,
Ben_014,0.0719991,0.0693306,
Ben_015,0.153543,0.147482,
Ben_016,0.139379,0.13269,
Ben_017,0.0894093,0.0875246,
Ben_018,0.0475425,0.0408442,
Ben_019,0.17328,0.201667,
Ben_020,0.0302379,0.0219659,
Ben_021,0.0143506,0.0109352,
Ben_022,-0.00899643,-0.0294225,
Ben_023,0.117558,0.113786,
Ben_024,-0.33863,-0.294293,
Ben_025,-0.277643,-0.219739,
Ben_026,0.161631,0.17544,
Ben_027,-0.00274192,-0.0219659,
Ben_028,0.0464797,0.0369994,
Ben_029,0.127098,0.126026,
Ben_030,0.0642279,0.0608452,
Ben_031,-0.0330099,-0.0567211,
Ben_032,-0.24207,-0.187391,
Ben_033,-0.0248279,-0.0447332,
Ben_034,-0.145372,-0.147482,
Ben_035,0.183429,0.219739,
Ben_036,0.156089,0.165067,
Ben_037,-0.0438535,-0.0608452,
Ben_038,0.0733852,0.0737097,
Ben_039,-0.0632312,-0.0781935,
Ben_040,0.0498349,0.0447332,
Ben_041,-0.0299115,-0.0526655,
Ben_042,0.0844943,0.0827939,
Ben_043,-0.0592602,-0.0737097,
Ben_044,-0.0216456,-0.0331937,
Ben_045,0.111011,0.108107,
Ben_046,0.0909382,0.0924014,
Ben_047,0.147749,0.13981,
Ben_048,-0.162466,-0.165067,
Ben_049,-0.0476526,-0.0650456,
Ben_050,-0.123788,-0.13269,
Ben_051,-0.12523,-0.13981,
Ben_052,-0.111505,-0.102669,
Ben_053,-0.114612,-0.108107,
Ben_054,-0.114741,-0.113786,
Ben_055,-0.261515,-0.201667,
Ben_056,-0.0692124,-0.0827939,
Ben_057,-0.321982,-0.245275,
Ben_058,0.00620282,0.00364039,
Ben_059,-0.0881905,-0.0875246,
Ben_060,-0.115992,-0.119744,
Ben_061,-0.00168576,-0.0182723,
Ben_062,-0.000677443,-0.0145966,
Ben_063,0.0292339,0.0182723,
Ben_064,0.0381496,0.0294225,
Ben_065,0.0510588,0.0486717,
Ben_066,0.103889,0.102669,
Ben_067,0.0932901,0.0974424,
Ben_068,0.0375313,0.0256813,
Ben_069,0.187825,0.245275,
Ben_070,0.118752,0.119744,
Ben_071,0.0536678,0.0526655,
Ben_072,0.0156193,0.0145966,
Ben_073,0.0612163,0.0567211,
Ben_074,0.00333862,-0.00364039,
Ben_075,0.00633862,0.00728428,
Ben_076,0.00337581,0,
Ben_077,0.17022,0.187391,
Ben_078,0.195534,0.294293,
Ben_079,0.153944,0.155839,
Ben_080,-0.0234085,-0.0408442,
Ben_081,-0.0222825,-0.0369994,
