sample,aq_gen.Ca.residual,aq_gen.Ca.quantile,aq_gen.Si.residual,aq_gen.Si.quantile,CSH.Ca/Si.residual,CSH.Ca/Si.quantile,CSH.mChainL.residual,CSH.mChainL.quantile,
Cw_02,0.612361,0.644409,-1.42453,-0.968932,0.0262507,0.0319544,0.413144,-32.3477,
Cw_10,-0.200691,-0.201045,-0.563441,0.0759222,0.00860476,0.00455512,1.90191,1.1723,
Cw_12,0.44251,0.295963,-1.01651,-0.169284,0.0315783,0.041387,0.320002,-39.1905,
Cw_13,0.268806,0.161451,-1.03484,-0.23438,0.0167729,0.0129514,0.736352,-15.6039,
Cw_07,0.0814533,0.0242029,-0.905863,-0.0454541,0.00860476,0.00455512,1.90191,1.1723,
Cw_08,-0.0570827,-0.0404262,-0.736797,0.015135,0.00895681,0.00723078,1.7299,-3.52073,
Cw_09,-0.0513265,-0.0242029,-0.410575,0.137723,0.00567519,0.000646475,3.49136,15.6039,
H-51,0.328294,0.201045,-0.983251,-0.137723,-0.0724912,-0.0516936,0.538504,-26.3012,
H-52,0.117365,0.0404262,-0.680492,0.0454541,-0.0305736,-0.0319544,0.248378,-47.3374,
H-50,0.494661,0.358898,-1.33292,-0.7481,-0.0574898,-0.0359011,0.700439,-18.1543,
H-36,-0.271481,-0.44754,-0.319695,0.23438,-0.00376782,-0.0129514,6.15103,35.6458,
H-37,-0.28822,-0.515926,-0.180707,0.268233,0.00381095,-0.00455512,5.38695,32.3477,
H-38,-0.261503,-0.325417,-0.356954,0.201453,0.00100464,-0.0100113,5.1304,23.4858,
H-39,-0.224909,-0.245044,-0.385918,0.169284,0.00100464,-0.0100113,5.1304,23.4858,
H-40,-0.268756,-0.39834,-0.445001,0.106642,-0.00284237,-0.0114573,5.28095,29.2454,
H-41,0.0228778,-0.0080589,-0.879282,-0.015135,-0.00881552,-0.0161276,3.5982,18.1543,
H-42,0.0492661,0.0080589,-0.90614,-0.0759222,-0.0111856,-0.0196571,3.65296,20.7764,
H-43,0.194975,0.0733334,-1.09387,-0.377572,-0.0141051,-0.0237418,2.88146,13.1121,
Cw_01,0.485617,0.325417,-0.936894,-0.106642,0.0363773,0.0516936,0.263434,-43.0528,
Cw_03,0.522839,0.44754,-1.03942,-0.268233,0.0300331,0.0359011,0.33878,-35.6458,
Cw_04,0.426354,0.269411,-1.26914,-0.674026,0.0198615,0.0261045,0.605026,-23.4858,
Cw_05,0.228405,0.107268,-1.10904,-0.417623,0.0141734,0.0114573,0.924842,-10.6676,
H-44,0.21618,0.0901383,-1.06562,-0.33956,-0.00635951,-0.014504,2.29905,5.88068,
H-45,0.228958,0.1248,-1.11966,-0.460203,-0.00949062,-0.0178383,2.35026,8.26016,
H-46,0.17889,0.0567837,-1.05613,-0.303212,-0.0138834,-0.0216118,2.42103,10.6676,
H-47,0.330762,0.222371,-1.16231,-0.555831,-0.0224009,-0.0261045,1.81687,-1.1723,
H-48,0.348685,0.245044,-1.42162,-0.8405,-0.0233524,-0.0287904,1.19774,-5.88068,
H-49,0.496841,0.39834,-1.51392,-1.21023,-0.0591744,-0.041387,0.968225,-8.26016,
Cw_14,0.528681,0.515926,-1.20856,-0.611146,0.0218288,0.0287904,0.516199,-29.2454,
Cw_15,0.323282,0.180805,-1.13427,-0.505966,0.0182624,0.0161276,0.679701,-20.7764,
Cw_16,0.257544,0.142826,-1.03484,-0.23438,0.0167729,0.0129514,0.736352,-15.6039,
H-23,-0.153698,-0.161451,-0.0741201,0.377572,0.0185899,0.0178383,-139.825,-57.9454,
H-24,-0.146581,-0.1248,-0.0380688,0.417623,0.0185915,0.0237418,-139.884,-93.7402,
H-25,-0.150132,-0.142826,-0.0933554,0.303212,0.0185915,0.0196571,-139.879,-75.0503,
H-26,-0.14307,-0.107268,-0.0831362,0.33956,0.0185915,0.0196571,-139.879,-75.0503,
H-27,-0.0867684,-0.0567837,0.200204,0.968932,0.00536468,-0.00194153,-0.904337,-52.2079,
H-28,-0.105856,-0.0733334,0.231376,1.21023,0.00536807,-0.000646475,8.09412,93.7402,
H-29,-0.137621,-0.0901383,0.179822,0.8405,0.0101018,0.00860487,7.48138,65.1024,
H-30,-0.197698,-0.180805,0.0974348,0.7481,0.0102157,0.0100113,7.23667,52.2079,
H-31,-0.20098,-0.222371,0.0670536,0.674026,0.00443865,-0.00324294,7.47742,57.9454,
H-32,-0.24479,-0.269411,0.0234375,0.611146,0.00242269,-0.00723078,7.65734,75.0503,
H-33,-0.257701,-0.295963,0.0197567,0.555831,0.00796432,0.00324294,6.35198,43.0528,
H-34,-0.268039,-0.358898,-0.0332742,0.460203,0.00775529,0.00194153,6.36658,47.3374,
H-35,-0.303073,-0.644409,-0.00555276,0.505966,0.00325828,-0.00588272,6.23008,39.1905,
