sample,expdataset,sT,sP,QtzRu.Rutile.meas,QtzRu.Rutile.calc,residual,weight,
77m,Wark&Watson2006,1.000000e+03,1.000000e+04,6.602302021379e-04,7.191436161157e-04,-5.891341397780e-05,2.294083522865e+06,
77a,Wark&Watson2006,1.000000000000e+03,1.000000000000e+04,6.552126750657e-04,7.191436161157e-04,-6.393094105001e-05,2.329353596246e+06,
68,Wark&Watson2006,9.500000000000e+02,1.000000000000e+04,5.184659894502e-04,5.309189150843e-04,-1.245292563410e-05,3.720141462674e+06,
83,Wark&Watson2006,9.000000000000e+02,1.000000000000e+04,4.105481342995e-04,3.819302017196e-04,2.861793257990e-05,5.932965655058e+06,
3,Wark&Watson2006,8.500000000000e+02,1.000000000000e+04,2.887993284364e-04,2.667002905007e-04,2.209903793567e-05,1.198968137730e+07,
50,Wark&Watson2006,8.500000000000e+02,1.000000000000e+04,3.139045616251e-04,2.667002905007e-04,4.720427112441e-05,1.014856753820e+07,
87,Wark&Watson2006,8.000000000000e+02,1.000000000000e+04,1.758104329931e-04,1.803583504661e-04,-4.547917473036e-06,3.235271358070e+07,
69,Wark&Watson2006,8.750000000000e+02,1.000000000000e+04,3.327326728343e-04,3.204929334186e-04,1.223973941573e-05,9.032523550777e+06,
6,Wark&Watson2006,7.500000000000e+02,1.000000000000e+04,1.293521573526e-04,1.173478214967e-04,1.200433585597e-05,5.976578763759e+07,
79m,Wark&Watson2006,7.000000000000e+02,1.000000000000e+04,7.535477281610e-05,7.311007489216e-05,2.244697923946e-06,1.761077507585e+08,
79a,Wark&Watson2006,7.000000000000e+02,1.000000000000e+04,8.665702553605e-05,7.311007489216e-05,1.354695064389e-05,1.331657207522e+08,
9,Wark&Watson2006,6.500000000000e+02,1.000000000000e+04,3.893469374832e-05,4.328560068847e-05,-4.350906940151e-06,6.596696051367e+08,
16,Wark&Watson2006,6.000000000000e+02,1.000000000000e+04,2.763138011954e-05,2.413982556651e-05,3.491554553031e-06,1.309769416172e+09,
QTiP-29,Thomas2010,8.250000000000e+02,2.000000000000e+04,3.060000000000e-05,3.083707148166e-05,-2.370714816572e-07,1.067965312487e+09,
QTiP-16,Thomas2010,7.750000000000e+02,2.000000000000e+04,2.670000000000e-05,1.865580816878e-05,8.044191831217e-06,1.402740955828e+09,
QTiP-17,Thomas2010,8.500000000000e+02,2.000000000000e+04,6.090000000000e-05,3.898815440916e-05,2.191184559084e-05,2.696282635131e+08,
QTiP-15,Thomas2010,8.000000000000e+02,2.000000000000e+04,2.010000000000e-05,2.412570491843e-05,-4.025704918435e-06,2.475186257766e+09,
QTiP-14,Thomas2010,9.400000000000e+02,2.000000000000e+04,1.250000000000e-04,8.375166472029e-05,4.124833527971e-05,6.400000000000e+07,
QTiP-1,Thomas2010,9.000000000000e+02,2.000000000000e+04,7.960000000000e-05,6.048849437668e-05,1.911150562332e-05,1.578242973662e+08,
QTiP-13,Thomas2010,8.750000000000e+02,2.000000000000e+04,5.770000000000e-05,4.879454199653e-05,8.905458003472e-06,3.003643419468e+08,
QTiP-26,Thomas2010,8.250000000000e+02,1.500000000000e+04,7.070000000000e-05,8.235980898745e-05,-1.165980898745e-05,2.000604182463e+08,
QTiP-25,Thomas2010,7.500000000000e+02,1.500000000000e+04,3.530000000000e-05,4.087134195653e-05,-5.571341956531e-06,8.025102520685e+08,
QTiP-39,Thomas2010,9.000000000000e+02,5.000000000000e+03,1.021000000000e-03,9.637770057741e-04,5.722299422594e-05,9.592869044867e+05,
QTiP-38,Thomas2010,8.000000000000e+02,5.000000000000e+03,4.771000000000e-04,4.945105908752e-04,-1.741059087518e-05,4.393201941743e+06,
QTiP-41,Thomas2010,7.250000000000e+02,5.000000000000e+03,3.440000000000e-04,2.750742128259e-04,6.892578717413e-05,8.450513791239e+06,
QTiP-19,Thomas2010,9.000000000000e+02,1.000000000000e+04,3.852000000000e-04,3.819302017196e-04,3.269798280417e-06,6.739496360133e+06,
QTiP-4,Thomas2010,8.000000000000e+02,1.500000000000e+04,4.770000000000e-05,6.591565217294e-05,-1.821565217294e-05,4.395044148218e+08,
QTiP-6,Thomas2010,9.000000000000e+02,1.500000000000e+04,1.298000000000e-04,1.518171399073e-04,-2.201713990730e-05,5.935408510426e+07,
QTiP-7,Thomas2010,7.000000000000e+02,1.500000000000e+04,2.230000000000e-05,2.413198015093e-05,-1.831980150929e-06,2.010899072976e+09,
QTiP-10,Thomas2010,9.400000000000e+02,1.500000000000e+04,2.100000000000e-04,2.040143128305e-04,5.985687169462e-06,2.267573696145e+07,
QTiP-11,Thomas2010,8.750000000000e+02,1.500000000000e+04,1.211000000000e-04,1.248331819986e-04,-3.733181998588e-06,6.818859054865e+07,
QTiP-12,Thomas2010,7.750000000000e+02,1.500000000000e+04,5.020000000000e-05,5.219943312619e-05,-1.999433126186e-06,3.968190981096e+08,
