sample,QtzRu.Rutile.residual,QtzRu.Rutile.quantile,
77m,-5.89134e-05,-4.51368e-05,
77a,-6.39309e-05,-5.80087e-05,
68,-1.24529e-05,-2.5499e-05,
83,2.86179e-05,2.90199e-05,
3,2.2099e-05,2.5499e-05,
50,4.72043e-05,3.81845e-05,
87,-4.54792e-06,-1.68623e-05,
69,1.22397e-05,1.43659e-05,
6,1.20043e-05,1.19875e-05,
79m,2.2447e-06,-1.0551e-06,
79a,1.3547e-05,1.68623e-05,
9,-4.35091e-06,-1.43659e-05,
16,3.49155e-06,3.17181e-06,
QTiP-29,-2.37071e-07,-3.17181e-06,
QTiP-16,8.04419e-06,7.47883e-06,
QTiP-17,2.19118e-05,2.23675e-05,
QTiP-15,-4.0257e-06,-1.19875e-05,
QTiP-14,4.12483e-05,3.31229e-05,
QTiP-1,1.91115e-05,1.95128e-05,
QTiP-13,8.90546e-06,9.69911e-06,
QTiP-26,-1.16598e-05,-2.23675e-05,
QTiP-25,-5.57134e-06,-1.95128e-05,
QTiP-39,5.7223e-05,4.51368e-05,
QTiP-38,-1.74106e-05,-2.90199e-05,
QTiP-41,6.89258e-05,5.80087e-05,
QTiP-19,3.2698e-06,1.0551e-06,
QTiP-4,-1.82157e-05,-3.31229e-05,
QTiP-6,-2.20171e-05,-3.81845e-05,
QTiP-7,-1.83198e-06,-5.30832e-06,
QTiP-10,5.98569e-06,5.30832e-06,
QTiP-11,-3.73318e-06,-9.69911e-06,
QTiP-12,-1.99943e-06,-7.47883e-06,
