id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
1,Ar001,Archer_syn,25,50,0.00001,molal,1000,g,0.1,molal,1.00333,g/cm3,
2,Ar002,Archer_syn,25,100,0.00001,molal,1000,g,0.1,molal,1.00554,g/cm3,
3,Ar003,Archer_syn,25,200,0.00001,molal,1000,g,0.1,molal,1.00988,g/cm3,
4,Ar004,Archer_syn,25,300,0.00001,molal,1000,g,0.1,molal,1.01413,g/cm3,
5,Ar005,Archer_syn,25,400,0.00001,molal,1000,g,0.1,molal,1.01829,g/cm3,
6,Ar006,Archer_syn,25,500,0.00001,molal,1000,g,0.1,molal,1.02238,g/cm3,
7,Ar007,Archer_syn,25,600,0.00001,molal,1000,g,0.1,molal,1.02638,g/cm3,
8,Ar008,Archer_syn,25,700,0.00001,molal,1000,g,0.1,molal,1.03032,g/cm3,
9,Ar009,Archer_syn,25,800,0.00001,molal,1000,g,0.1,molal,1.03418,g/cm3,
10,Ar010,Archer_syn,25,900,0.00001,molal,1000,g,0.1,molal,1.03797,g/cm3,
11,Ar011,Archer_syn,25,1000,0.00001,molal,1000,g,0.1,molal,1.04169,g/cm3,
12,Ar012,Archer_syn,50,50,0.00001,molal,1000,g,0.1,molal,0.994097,g/cm3,
13,Ar013,Archer_syn,50,100,0.00001,molal,1000,g,0.1,molal,0.99623,g/cm3,
14,Ar014,Archer_syn,50,200,0.00001,molal,1000,g,0.1,molal,1.00043,g/cm3,
15,Ar015,Archer_syn,50,300,0.00001,molal,1000,g,0.1,molal,1.00454,g/cm3,
16,Ar016,Archer_syn,50,400,0.00001,molal,1000,g,0.1,molal,1.00856,g/cm3,
17,Ar017,Archer_syn,50,500,0.00001,molal,1000,g,0.1,molal,1.01251,g/cm3,
18,Ar018,Archer_syn,50,600,0.00001,molal,1000,g,0.1,molal,1.01637,g/cm3,
19,Ar019,Archer_syn,50,700,0.00001,molal,1000,g,0.1,molal,1.02017,g/cm3,
20,Ar020,Archer_syn,50,800,0.00001,molal,1000,g,0.1,molal,1.0239,g/cm3,
21,Ar021,Archer_syn,50,900,0.00001,molal,1000,g,0.1,molal,1.02755,g/cm3,
22,Ar022,Archer_syn,50,1000,0.00001,molal,1000,g,0.1,molal,1.03115,g/cm3,
23,Ar023,Archer_syn,75,50,0.00001,molal,1000,g,0.1,molal,0.980917,g/cm3,
24,Ar024,Archer_syn,75,100,0.00001,molal,1000,g,0.1,molal,0.983088,g/cm3,
25,Ar025,Archer_syn,75,200,0.00001,molal,1000,g,0.1,molal,0.987349,g/cm3,
