id,sample,comment,type,sT,sP,expdataset,weight,phase.Gibbsite-H.DC.Gibbsite-H.UMC,comp.AlO(OH),unit,comp.H2O,unit,comp.NaCl,unit,comp.HCl,unit,comp.NaOH,unit,phase.aq_gen.pH,phase.aq_gen.IC.Al.Q,unit
1,Ben_001,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.245891,g,,,2.484,0.000368129,molal
2,Ben_002,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.158354,g,,,2.601,0.000143549,molal
3,Ben_003,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.145574,g,,,2.607,0.000160325,molal
4,Ben_004,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.145574,g,,,2.61,0.000138038,molal
5,Ben_005,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.145574,g,,,2.612,0.000158125,molal
6,Ben_006,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.137685,g,,,2.637,0.000181134,molal
7,Ben_007,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.129791,g,,,2.639,0.000188799,molal
8,Ben_008,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.11702,g,,,2.671,0.000121339,molal
9,Ben_009,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.11702,g,,,2.673,0.00011272,molal
10,Ben_010,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.112135,g,,,2.693,0.00011246,molal
11,Ben_011,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0884615,g,,,2.776,6.38263E-05,molal
12,Ben_012,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0835804,g,,,2.789,7.03072E-05,molal
13,Ben_013,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0659296,g,,,2.877,3.38065E-05,molal
14,Ben_014,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0629381,g,,,2.881,3.87258E-05,molal
15,Ben_015,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.058037,g,,,2.926,3.53183E-05,molal
16,Ben_016,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.058037,g,,,2.927,3.39625E-05,molal
17,Ben_017,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0501695,g,,,2.967,2.36048E-05,molal
18,Ben_018,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.048289,g,,,2.99,1.86209E-05,molal
19,Ben_019,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0471523,g,,,3.001,2.32809E-05,molal
20,Ben_020,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0325003,g,,,3.15,6.95024E-06,molal
21,Ben_021,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0325003,g,,,3.152,6.62217E-06,molal
22,Ben_022,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0234688,g,,,3.289,2.95121E-06,molal
23,Ben_023,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0227472,g,,,3.294,3.84592E-06,molal
24,Ben_024,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.016737,g,,,3.414,7.31139E-07,molal
25,Ben_025,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.016737,g,,,3.417,8.29851E-07,molal
26,Ben_026,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0160043,g,,,3.444,2.00447E-06,molal
27,Ben_027,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0152981,g,,,3.472,1.20504E-06,molal
28,Ben_028,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0111305,g,,,3.607,7.46449E-07,molal
29,Ben_029,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0102597,g,,,3.642,7.7983E-07,molal
30,Ben_030,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00997734,g,,,3.645,6.66807E-07,molal
31,Ben_031,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00696864,g,,,3.81,2.93089E-07,molal
32,Ben_032,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00439274,g,,,4.006,1.02329E-07,molal
33,Ben_033,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00423407,g,,,4.019,1.63305E-07,molal
34,Ben_034,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00379429,g,,,4.07,1.09396E-07,molal
