id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,2A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,2.68,1.29E-07,molal,,1.48,,log(L/kg)
2,2B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,2.66,1.31E-07,molal,,1.38,,log(L/kg)
3,2C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,2.66,1.29E-07,molal,,1.47,,log(L/kg)
4,3A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,3.02,1.21E-07,molal,,1.82,,log(L/kg)
5,3B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,3.01,1.18E-07,molal,,1.90,,log(L/kg)
6,3C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,3.03,1.23E-07,molal,,1.77,,log(L/kg)
7,4A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.53,2.82E-08,molal,,3.29,,log(L/kg)
8,4B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.52,2.77E-08,molal,,3.29,,log(L/kg)
9,4C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.53,3.24E-08,molal,,3.21,,log(L/kg)
10,5A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.96,1.18E-08,molal,,3.73,,log(L/kg)
11,5B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.96,1.31E-08,molal,,3.67,,log(L/kg)
12,5C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,4.95,1.16E-08,molal,,3.73,,log(L/kg)
13,6A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.20,2.87E-09,molal,,4.37,,log(L/kg)
14,6B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.20,2.76E-09,molal,,4.38,,log(L/kg)
15,6C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.22,2.68E-09,molal,,4.40,,log(L/kg)
16,7A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.67,1.35E-09,molal,,4.70,,log(L/kg)
17,7B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.68,1.37E-09,molal,,4.69,,log(L/kg)
18,7C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,5.69,1.54E-09,molal,,4.64,,log(L/kg)
19,8A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,6.14,9.66E-10,molal,,4.85,,log(L/kg)
20,8B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,6.13,1.01E-09,molal,,4.83,,log(L/kg)
21,8C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,6.11,9.23E-10,molal,,4.87,,log(L/kg)
22,9A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.01,6.48E-10,molal,,5.02,,log(L/kg)
23,9B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.01,8.18E-10,molal,,4.92,,log(L/kg)
24,9C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.01,8.18E-10,molal,,4.92,,log(L/kg)
25,10A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.65,8.60E-10,molal,,4.90,,log(L/kg)
26,10B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.64,9.45E-10,molal,,4.86,,log(L/kg)
27,10C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,7.61,8.60E-10,molal,,4.90,,log(L/kg)
28,11A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,8.78,1.05E-09,molal,,4.81,,log(L/kg)
29,11B,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,8.78,9.87E-10,molal,,4.84,,log(L/kg)
30,11C,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,8.80,9.23E-10,molal,,4.87,,log(L/kg)
31,12A,Uranyl edge in 0.1 M NaClO4,DS-edge-04-01M,25,1,987.756,g,0.000000137,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000450592,mol,4.01E-06,mol,8.01E-05,mol,8.01E-05,mol,0.000450592,mol,10.11,1.35E-09,molal,,4.70,,log(L/kg)
