id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000035,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000479189,mol,4.26E-06,mol,8.52E-05,mol,8.52E-05,mol,0.000479189,mol,7.20,2.08E-09,molal,,4.90,,log(L/kg)
2,1B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000035,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000479189,mol,4.26E-06,mol,8.52E-05,mol,8.52E-05,mol,0.000479189,mol,7.20,2.38E-09,molal,,4.84,,log(L/kg)
3,2A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000000512,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000478413,mol,4.25E-06,mol,8.51E-05,mol,8.51E-05,mol,0.000478413,mol,7.20,4.27E-09,molal,,4.75,,log(L/kg)
4,2B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000000512,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000478413,mol,4.25E-06,mol,8.51E-05,mol,8.51E-05,mol,0.000478413,mol,7.20,4.59E-09,molal,,4.72,,log(L/kg)
5,3A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000000754,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000477254,mol,4.24E-06,mol,8.48E-05,mol,8.48E-05,mol,0.000477254,mol,7.20,5.48E-09,molal,,4.81,,log(L/kg)
6,3B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000000754,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000477254,mol,4.24E-06,mol,8.48E-05,mol,8.48E-05,mol,0.000477254,mol,7.20,6.62E-09,molal,,4.73,,log(L/kg)
7,4A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000001154,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000475335,mol,4.23E-06,mol,8.45E-05,mol,8.45E-05,mol,0.000475335,mol,7.20,1.01E-08,molal,,4.73,,log(L/kg)
8,4B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.000001154,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000475335,mol,4.23E-06,mol,8.45E-05,mol,8.45E-05,mol,0.000475335,mol,7.20,9.77E-09,molal,,4.74,,log(L/kg)
9,5A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000195,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000471543,mol,4.19E-06,mol,8.38E-05,mol,8.38E-05,mol,0.000471543,mol,7.20,2.09E-08,molal,,4.64,,log(L/kg)
10,5B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000195,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000471543,mol,4.19E-06,mol,8.38E-05,mol,8.38E-05,mol,0.000471543,mol,7.20,3.26E-08,molal,,4.45,,log(L/kg)
11,6A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000298,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000466579,mol,4.15E-06,mol,8.29E-05,mol,8.29E-05,mol,0.000466579,mol,7.20,5.20E-08,molal,,4.43,,log(L/kg)
12,6B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000298,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000466579,mol,4.15E-06,mol,8.29E-05,mol,8.29E-05,mol,0.000466579,mol,7.20,5.08E-08,molal,,4.44,,log(L/kg)
13,7A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000573,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000476613,mol,4.24E-06,mol,8.47E-05,mol,8.47E-05,mol,0.000476613,mol,7.20,8.08E-08,molal,,4.52,,log(L/kg)
14,7B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-11-01M-pH7.2,25,1,987.756,g,0.00000573,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000476613,mol,4.24E-06,mol,8.47E-05,mol,8.47E-05,mol,0.000476613,mol,7.20,7.61E-08,molal,,4.54,,log(L/kg)
