id,sample,comment,type,sT,sP,expdataset,comp.SiO2,error,unit,comp.H2O,unit,comp.Ca(OH)2,unit,phase.aq_gen.pH,error,unit,phase.aq_gen.Si,error,unit,phase.aq_gen.Ca,error,unit,phase.CSH.pQnt,unit,phase.CSH.Si,unit,phase.CSH.Ca,error,unit
1,CH04,,,22,1,qCH04,10,,g,1000,g,36.99,g,,,,0.05,,molal,20.83,,molal,3.00,mol,1.000001,mol,1.50,0.05,mol
2,CH04,,,22,1,qCH04,10,,g,1000,g,36.87,g,,,,0.04,,molal,20.59,,molal,2.99,mol,1,mol,1.50,0.05,mol
3,CH04,,,22,1,CH04,10,,g,1000,g,32.56,g,,,,0.05,,molal,19.22,,molal,2.64,mol,1,mol,1.50,0.05,mol
4,CH04,,,22,1,CH04,10,,g,1000,g,29.84,g,12.49,0.02,-loga,0.05,,molal,18.59,,molal,2.42,mol,1,mol,1.50,0.05,mol
5,CH04,,,22,1,CH04,10,,g,1000,g,23.06,g,12.43,0.02,-loga,0.05,,molal,15.86,,molal,1.87,mol,1,mol,1.50,0.05,mol
6,CH04,,,22,1,CH04,10,,g,1000,g,22.32,g,,,,0.06,,molal,15.22,,molal,1.81,mol,1,mol,1.50,0.05,mol
7,CH04,,,22,1,qCH04,10,,g,1000,g,21.58,g,,,,0.06,,molal,13.57,,molal,1.75,mol,1,mol,1.50,0.05,mol
8,CH04,,,22,1,CH04,10,,g,1000,g,12.95,g,11.69,0.02,-loga,0.15,,molal,3.17,,molal,1.05,mol,1,mol,1.05,0.05,mol
9,CH04,,,22,1,CH04,10,,g,1000,g,17.26,g,12.21,0.02,-loga,0.07,,molal,8.59,,molal,1.40,mol,1,mol,1.40,0.05,mol
10,CH04,,,22,1,CH04,10,,g,1000,g,15.66,g,12.12,0.03,-loga,0.07,,molal,7.20,,molal,1.27,mol,1,mol,1.27,0.05,mol
11,CH04,,,22,1,CH04,10,,g,1000,g,13.07,g,11.79,0.03,-loga,0.16,,molal,3.37,,molal,1.06,mol,1,mol,1.06,0.05,mol
